基金代碼,特徵1_國內外,特徵2_產業別,特徵3_高收益債,特徵4_高風險,特徵5_熱門基金,特徵6_基金型態別,特徵7_高報酬
396,國內,<2%產業,,,,g.指數型,
397,國內,<2%產業,,,,g.指數型,
398,國內,非必需性消費,,,,a.股票型,今年來報酬率大於10%
399,國內,,,高風險,,a.股票型,
400,國內,非循環性消費,高收益債,,,b.債券型,
401,國內,非循環性消費,高收益債,,,b.債券型,
402,國內,原物料,高收益債,,,d.平衡型,
403,國內,原物料,高收益債,,,d.平衡型,
404,國內,工業,,高風險,,a.股票型,今年來報酬率大於10%
405,國內,必需消費品,,高風險,,a.股票型,
406,國內,必需消費品,,高風險,,a.股票型,
407,國內,必需消費品,,高風險,,a.股票型,今年來報酬率大於10%
409,國內,生技醫療,,,,a.股票型,今年來報酬率大於10%
410,國內,生技醫療,,,,a.股票型,今年來報酬率大於10%
412,國內,,,,,e.組合型,
413,國內,金融銀行,,,,b.債券型,
414,國內,金融銀行,,,,b.債券型,
416,國內,美元約當現金,高收益債,,,e.組合型,
417,國內,美元約當現金,高收益債,,,e.組合型,
418,國內,美元約當現金,高收益債,,,e.組合型,
419,國內,耐久財消費,,高風險,,a.股票型,今年來報酬率大於10%
420,國內,,,高風險,,a.股票型,今年來報酬率大於10%
421,國內,耐久財消費,,高風險,,a.股票型,今年來報酬率大於10%
422,國內,,,高風險,,a.股票型,今年來報酬率大於10%
423,國內,不動產,,,,g.指數型,
424,國內,非股票部位,,高風險,,g.指數型,今年來報酬率大於10%
425,國內,不動產,,,,g.指數型,
426,國內,非股票部位,,高風險,,g.指數型,今年來報酬率大於10%
427,國內,現金,,,,a.股票型,
428,國內,現金,,,,a.股票型,今年來報酬率大於10%
429,國內,現金,,,,a.股票型,
430,國內,能源,高收益債,,,d.平衡型,
431,國內,能源,高收益債,,,d.平衡型,
433,國內,能源,高收益債,,,d.平衡型,
434,國內,能源,高收益債,,,d.平衡型,
435,國內,能源,高收益債,,,d.平衡型,
436,國內,現金,,,,a.股票型,今年來報酬率大於10%
437,國內,消費,高收益債,,,b.債券型,
438,國內,日常消費品,,高風險,,d.平衡型,
439,國內,,高收益債,,,b.債券型,
440,國內,,高收益債,,,b.債券型,
442,國內,現金,,,,a.股票型,今年來報酬率大於10%
443,國內,通訊/媒體,高收益債,,,b.債券型,
445,國內,現金,,,,a.股票型,
446,國內,現金,,,,a.股票型,
447,國內,現金,,,,a.股票型,
448,國內,現金,,,,a.股票型,
449,國內,現金,,,,a.股票型,
450,國內,現金,,,,a.股票型,
451,國內,,高收益債,,,b.債券型,
452,國內,,高收益債,,,b.債券型,
455,國內,其他,,,,a.股票型,今年來報酬率大於10%
456,國內,基礎材料,高收益債,,,h.其他型,
457,國內,基礎材料,高收益債,,,h.其他型,
458,國內,,高收益債,,,d.平衡型,
459,國內,,高收益債,,,d.平衡型,
460,國內,,高收益債,,,d.平衡型,
461,國內,,高收益債,,,d.平衡型,
502,國外,,,,,b.債券型,
503,國外,股權,高收益債,,,b.債券型,
504,國外,,,,,b.債券型,
505,國外,科技,高收益債,,,b.債券型,
506,國外,健康醫療,,,,d.平衡型,
50C,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
50D,國外,應用軟體,,,,a.股票型,今年來報酬率大於10%
50E,國外,,,,,a.股票型,
50F,國外,,,,,b.債券型,
50M,國外,健康醫療,,,,a.股票型,今年來報酬率大於10%
519,國外,日本股票,,,,d.平衡型,
51B,國外,金融,,,,a.股票型,今年來報酬率大於10%
51C,國外,電腦及周邊設備,,,,a.股票型,今年來報酬率大於10%
51D,國外,資訊科技,,,,a.股票型,
51E,國外,能源,,,,b.債券型,
51F,國外,媒體,高收益債,,,b.債券型,
51G,國外,資訊科技,,,,b.債券型,
51H,國外,多元金融業,高收益債,,,b.債券型,
51J,國外,金融,,,,a.股票型,
51K,國外,原物料,,,,a.股票型,今年來報酬率大於10%
51L,國外,金融,,,,a.股票型,今年來報酬率大於10%
51M,國外,原物料,,,,a.股票型,
51N,國外,醫療保健,,,,a.股票型,
51P,國外,工業,,,,a.股票型,
51Q,國外,金融,,,,a.股票型,
51R,國外,醫療保健,,,,a.股票型,今年來報酬率大於10%
51V,國外,金融,,,,a.股票型,
51W,國外,原物料,,,,a.股票型,今年來報酬率大於10%
51X,國外,醫療保健,,,,a.股票型,
521,國外,醫療保健,,,,a.股票型,今年來報酬率大於10%
52A,國外,未分類,,,,d.平衡型,
52B,國外,零售,,,,a.股票型,
52C,國外,零售,,,,a.股票型,
52D,國外,,高收益債,,,b.債券型,
52E,國外,,高收益債,,,b.債券型,
52F,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
52G,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
52H,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
52I,國外,住宅,,高風險,,a.股票型,
52J,國外,住宅,,,,a.股票型,
52K,國外,資訊科技,,,,a.股票型,
52L,國外,資訊科技,,,,a.股票型,
52N,國外,流動資產,,,,a.股票型,
52Q,國外,現金,,,,b.債券型,
52W,國外,金融債券,高收益債,,,b.債券型,
52X,國外,金融債券,高收益債,,,b.債券型,
52Y,國外,資訊科技,,,,a.股票型,
52Z,國外,資訊科技,,,,a.股票型,
532,國外,日本股票,,,,d.平衡型,
534,國外,醫療保健,,,,a.股票型,
53C,國外,資訊科技,,高風險,,a.股票型,今年來報酬率大於10%
53D,國外,,,高風險,,a.股票型,
